Date,Open,High,Low,Close,Adj Close,Volume
6/29/2020,209.75,220.75,207.110001,220.639999,220.406143,58514300
6/30/2020,220.589996,227.5,218.470001,227.070007,226.829346,33927100
7/1/2020,228.5,239,227.559998,237.550003,237.298233,
7/2/2020,239,240,232.610001,,233.172592,30633600
7/6/2020,233.759995,240.399994,232.270004,240.279999,-1,-1
